1;0;3747.00;11.25;1458.00;0.00;0.48
2;0;2800.00;11.20;1711.00;0.00;0.40
3;0;4065.00;10.65;815.00;0.00;0.32
4;0;3355.00;11.27;1230.00;0.00;0.48
5;0;2316.00;13.45;1606.00;0.00;0.52
6;0;3068.00;14.77;26.00;0.00;0.32
7;0;1250.00;10.55;1019.00;0.00;0.40
8;0;4335.00;10.00;933.00;0.00;0.48
9;0;4300.00;12.72;1290.00;0.00;0.52
10;0;4308.00;10.35;1376.00;0.00;0.40
11;0;1790.00;10.20;833.00;0.00;0.24
12;0;3339.00;10.30;1585.00;0.00;0.40
13;0;2323.00;12.37;232.00;0.00;0.36
14;0;2757.00;10.30;1124.00;0.00;0.36
15;0;2544.00;11.65;1683.00;0.00;0.40
16;0;2766.00;10.80;361.00;0.00;0.32
17;0;3704.00;10.87;746.00;0.00;0.52
18;0;1390.00;11.25;1037.00;0.00;0.36
19;0;3912.00;11.27;1450.00;0.00;0.40
20;0;3706.00;10.82;1091.00;0.00;0.76
21;0;3995.00;11.57;880.00;0.00;0.40
22;0;3320.00;10.02;471.00;0.00;0.40
23;0;3660.00;13.90;747.00;0.00;0.40
24;0;2634.00;11.50;2039.00;0.00;0.36
25;0;3082.00;10.70;1248.00;0.00;0.60
26;0;1754.00;10.00;1548.00;0.00;0.28
27;0;3069.00;10.40;1411.00;0.00;0.24
28;0;3162.00;11.62;1431.00;0.00;0.24
29;0;3504.00;11.50;1186.00;0.00;0.52
30;0;3785.00;11.30;1708.00;0.00;0.32
31;0;2231.00;11.30;1624.00;0.00;0.36
32;0;2474.00;10.17;1669.00;0.00;0.44
33;0;1550.00;10.17;1619.00;0.00;0.24
34;0;2670.00;12.42;408.00;0.00;0.36
35;0;3968.00;10.17;1685.00;0.00;0.48
36;0;2815.00;10.30;1162.00;0.00;0.48
37;0;1823.00;10.12;1101.00;0.00;0.16
38;0;3671.00;11.57;584.00;0.00;0.36
39;0;3692.00;11.65;1755.00;0.00;0.40
40;0;2257.00;11.45;1794.00;0.00;0.40
41;0;2467.00;10.92;1975.00;0.00;0.20
42;0;2703.00;13.95;1708.00;0.00;0.28
43;0;2517.00;10.37;1842.00;0.00;0.32
44;0;4125.00;10.80;1400.00;0.00;0.48
45;0;3447.00;10.20;359.00;0.00;0.28
46;0;3509.00;10.10;889.00;0.00;0.56
